Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-754.3605	-822.2715	67.91095	0.258915	0.170169	0.460426	0.110489	2.702701	2.263604	1.236164	5.035121
6	-761.1212	-828.7255	67.6043	0.299493	0.51045	0.14616	0.0438982	0.6094048	2.533239	1.032531	11.42853
12	-750.5394	-820.74	70.20051	0.142343	0.795704	0.00306221	0.0588911	1.883778	2.15675	1.292668	2.024832
18	-746.3304	-816.8478	70.51739	0.122169	0.784941	0.00879426	0.0840956	1.053271	2.279492	1.292668	2.427601
24	-750.3449	-819.6807	69.33578	0.122169	0.784941	0.00879426	0.0840956	2.216262	2.220968	1.187001	3.050048
30	-765.1349	-834.2383	69.10338	0.247539	0.293276	0.409724	0.0494615	2.259351	2.043475	1.837555	2.295323
36	-772.0001	-835.1954	63.19524	0.193151	0.112353	0.681801	0.0126941	12.83165	2.041055	1.362505	8.459778
42	-760.7745	-826.194	65.41948	0.525486	0.131417	0.333074	0.0100234	6.158868	2.26465	0.8516419	8.459778
48	-764.2223	-832.7253	68.50294	0.451581	0.0971864	0.43644	0.0147929	1.722405	2.305855	1.01965	5.783413
54	-754.4385	-823.7111	69.27257	0.156446	0.394507	0.347194	0.101853	0.9290105	2.005268	2.418513	2.454794
60	-744.9143	-814.32	69.40567	0.0831698	0.794969	0.114988	0.00687377	3.324143	2.064278	1.268801	1.986216
66	-750.3366	-822.3906	72.05407	0.0824979	0.79503	0.116402	0.00607012	1.123383	2.195133	0.9989903	0.9808619
72	-746.806	-815.8956	69.08951	0.179431	0.680558	0.0992715	0.0407394	1.489859	2.773392	0.6183948	4.478582
78	-743.1297	-815.4619	72.33224	0.0331938	0.763238	0.185566	0.0180023	1.007379	2.625581	0.6297381	0.675195
84	-741.9846	-813.4368	71.45224	0.0300804	0.646811	0.258682	0.0644269	0.7514572	2.573811	0.6203199	1.993346
90	-741.4033	-811.4448	70.04153	0.129076	0.686424	0.172096	0.0124037	3.516633	2.586701	0.6841902	1.146775
96	-745.44	-807.466	62.02603	0.376292	0.231156	0.31356	0.0789915	15.01871	2.358654	0.7734605	12.30903
102	-755.3846	-821.7152	66.33059	0.381459	0.208045	0.312392	0.0981039	4.654515	2.469675	0.7734605	7.099002
108	-763.0618	-830.4878	67.426	0.40093	0.0656606	0.462258	0.0711509	2.91763	2.460069	1.102843	5.782027
114	-758.2187	-827.1159	68.89718	0.490108	0.0244596	0.421626	0.0638071	4.888538	2.663066	0.7996286	1.503403
120	-747.3871	-817.5489	70.16182	0.107811	0.674699	0.199754	0.0177363	3.074217	2.216132	1.122963	1.272886
126	-742.8181	-811.9031	69.08498	0.0324269	0.770957	0.165944	0.0306721	2.90812	2.519192	1.022936	2.533315
132	-755.6543	-824.157	68.50272	0.195861	0.382475	0.236403	0.185261	1.776692	2.263631	1.250837	5.148672
138	-754.4225	-823.6266	69.20412	0.160817	0.440749	0.298051	0.100383	1.203115	2.273612	1.276597	4.59233
144	-758.9129	-827.3409	68.42799	0.394166	0.0773072	0.459643	0.0688834	1.463477	1.73978	2.091332	4.45844
150	-758.8527	-826.225	67.37227	0.0331677	0.828438	0.084795	0.0535989	8.839204	1.983392	1.752724	1.15406
156	-767.3536	-833.2818	65.92816	0.207099	0.629109	0.0550545	0.108738	3.486613	1.878051	1.638277	9.003194
162	-756.4976	-826.0243	69.52675	0.212735	0.634163	0.0678625	0.0852398	1.597534	2.519936	0.5310843	3.956422
168	-757.6119	-828.8807	71.26884	0.232898	0.628754	0.0703002	0.0680471	2.425358	2.309361	0.7538278	0.815826
174	-758.4007	-827.7637	69.36297	0.056831	0.796923	0.109834	0.036412	1.684835	1.72171	2.54556	1.527377
180	-760.1889	-828.6026	68.41362	0.325238	0.467723	0.197237	0.00980199	4.208552	2.413883	0.6373343	3.129307
186	-755.2457	-819.9499	64.70424	0.540369	0.277394	0.169295	0.0129415	17.04966	2.349865	0.8926885	3.189343
192	-760.2763	-830.5568	70.28055	0.428424	0.421145	0.140494	0.0099361	2.215205	2.107197	0.8734147	2.259448
198	-749.9396	-819.77	69.83034	0.0690082	0.71896	0.201271	0.0107603	1.954266	2.181441	0.8206407	3.223666
204	-750.6141	-819.8007	69.18652	0.0823919	0.858398	0.039946	0.0192645	3.005714	2.205781	2.063526	1.016075
210	-754.2464	-820.0821	65.83573	0.10729	0.704353	0.0520174	0.136339	13.29208	2.01638	1.673256	1.726808
216	-754.1419	-820.0411	65.89922	0.0507184	0.706417	0.0575911	0.185273	7.555329	2.071216	1.673256	3.924223
222	-747.1818	-814.2369	67.05516	0.0990006	0.646507	0.112416	0.142077	6.092648	2.262133	0.9812872	3.957996
228	-755.1759	-819.0181	63.84213	0.421913	0.350126	0.100696	0.127265	3.790018	1.827691	2.377213	12.4105
234	-758.7212	-821.8951	63.17384	0.247408	0.196988	0.256804	0.298801	12.08467	2.264102	1.152036	9.217159
240	-747.5003	-815.6167	68.11636	0.233953	0.364943	0.288756	0.112348	2.101887	2.074477	1.152036	6.263187
246	-757.6319	-827.5732	69.94131	0.371976	0.334176	0.215543	0.0783053	3.206802	1.796698	1.342326	1.617674
252	-756.081	-821.3635	65.28245	0.502847	0.244605	0.132554	0.119993	5.592349	1.890576	1.194625	9.805028
258	-759.3424	-828.3431	69.0007	0.0785317	0.527804	0.38949	0.0041738	3.402818	1.905716	1.237375	2.800825
264	-762.8709	-832.8824	70.01148	0.248668	0.645233	0.0992658	0.0068328	4.130063	2.507169	0.4410503	0.9839122
270	-768.4067	-841.2433	72.83667	0.231409	0.738956	0.0179717	0.0116634	0.349688	2.596225	0.4054099	0.8571246
276	-749.744	-822.6508	72.9068	0.0779857	0.881594	0.0265056	0.0139147	0.349688	2.743715	0.4547414	0.6656263
282	-761.3754	-826.774	65.3986	0.264748	0.626068	0.0863403	0.0228443	13.47177	3.044343	0.3834764	2.367905
288	-757.9398	-827.3033	69.36357	0.337309	0.221057	0.410791	0.0308436	1.770234	2.633688	0.3096043	3.593841
294	-757.4413	-824.5601	67.11875	0.331277	0.402504	0.248561	0.0176592	7.372732	2.481256	0.3607498	3.04976
300	-746.9973	-816.9533	69.95599	0.363625	0.459129	0.157554	0.0196923	0.9615364	2.593737	0.4327329	4.107822
306	-737.8854	-809.2902	71.40478	0.0800038	0.770895	0.116038	0.033064	1.046177	2.556951	0.3815303	1.679644
312	-759.2928	-827.6744	68.38162	0.059587	0.711869	0.185365	0.0431788	4.114405	2.805168	0.2906876	2.480222
318	-761.3909	-826.9125	65.52158	0.13723	0.608248	0.118618	0.135903	2.366775	2.926283	0.2681615	12.8693
324	-774.213	-845.1106	70.89762	0.251628	0.574757	0.0754677	0.0981472	0.7334208	2.990529	0.3446946	2.157038
330	-760.1851	-830.9217	70.73668	0.136152	0.696425	0.126815	0.040608	2.117212	2.9855	0.2618809	0.8149231
336	-748.6358	-818.7484	70.11266	0.10933	0.696861	0.153176	0.0406334	1.974268	2.902871	0.2719181	1.710071
342	-762.7196	-826.2019	63.48223	0.1417	0.514777	0.217905	0.125617	2.239318	2.902871	0.2477206	25.45486
348	-766.5052	-830.1268	63.62151	0.606264	0.209592	0.0620652	0.122078	3.584845	2.925757	0.2559473	18.85397
354	-750.9616	-821.6297	70.66813	0.0497482	0.935142	0.00509288	0.0100174	0.9396856	2.925757	0.2121645	1.967187
360	-758.1757	-824.4529	66.2772	0.175673	0.642309	0.177179	0.00483892	0.6236452	3.122598	0.2954661	15.86359
366	-750.4867	-819.2136	68.72686	0.379454	0.372189	0.222546	0.0258104	3.73408	2.971559	0.3007701	2.047343
